recipe_code,recipe_name_hy,recipe_name_en,base_servings,source_url
adjarian_khachapuri,Աջարական խաչապուրի,Adjarian Khachapuri,5,
boiled_eggs,Խաշած ձու,Boiled Eggs,5,
sour_cream_and_cottage_cheese,Թթվասեր+կաթնաշոռ,Sour Cream and Cottage Cheese,5,
oatmeal,Վարսակ,Oatmeal,5,
cornflakes_with_milk,Կաթով եգիպտացորենի փաթիլներ,Cornflakes with Milk,5,
pancakes,Փանքեյք,Pancakes,5,
bread_omelette,Հացով ձվածեղ,Bread Omelette,5,
mushroom_omelette,Սնկով ձվածեղ,Mushroom Omelette,5,
omelette,Ձվածեղ,Omelette,5,
syrniki,Սիրնիկներ,Syrniki,5,
pancakes_with_seasonal_fruit,Փանքեյք սեզոնային մրգերով,Pancakes with Seasonal Fruit,5,
pelmeni,Պելմենի,Pelmeni,5,
uzbek_rice_pilaf,Բրնձով ուզբեկական փլավ,Uzbek Rice Pilaf,5,
chicken_rice_soup,"Հավով, բրնձով ապուր",Chicken and Rice Soup,5,
oven_roasted_vegetables,Բանջարեղենը ջեռոցում,Oven-Roasted Vegetables,5,
pizza,Պիցցա,Pizza,5,
fish,Ձուկ,Fish,5,
chickpea_soup,Սիսեռով ապուր,Chickpea Soup,5,
spaghetti_with_meat_and_cheese,Սպագետի մսով ու պանրով,Spaghetti with Meat and Cheese,5,
spaghetti_with_mushrooms_and_cheese,Սպագետի սնկով ու պանրով,Spaghetti with Mushrooms and Cheese,5,
potato_and_meat_sauce,"Կարտոֆիլով, մսով սոուս",Potato and Meat Sauce,5,
fried_potatoes,Կարտոֆիլի ժարիտ,Fried Potatoes,5,
spas,Սպաս,Spas,5,
buckwheat,Հնդկաձավար,Buckwheat,5,
burger,Բուրգեր,Burger,5,
cabbage_salad,Կաղամբով աղցան,Cabbage Salad,5,
beet_salad,Բազուկով աղցան,Beet Salad,5,
caesar_salad,Աղցան ցեզար,Caesar Salad,5,
hummus,Հումուս,Hummus,5,
chicken_carrot_corn_salad,"Հավով, գազարով, եգիպտացորենով աղցան","Chicken, Carrot and Corn Salad",5,
bruschetta,Բրուսկետ,Bruschetta,5,
korean_salad,Կորեական աղցան,Korean Salad,5,
summer_salad,Ամառային աղցան,Summer Salad,5,
carrot_meat_green_bean_sauce,"Գազարով, մսով, կանաչ լոբով սոուս","Carrot, Meat and Green Bean Sauce",5,
sour_cream_sauce,Թթվասերային սոուս,Sour Cream Sauce,5,
fried_chicken_drumsticks,Տապակած հավի բդիկ,Fried Chicken Drumsticks,5,
zucchini_cutlets,Դդմիկով կոտլետ,Zucchini Cutlets,5,
chicken_cutlets,Հավով կոտլետ,Chicken Cutlets,5,
chicken_sausages,Հավով նրբերշիկ,Chicken Sausages,5,
mashed_potatoes,Պյուրե,Mashed Potatoes,5,
rice_pilaf,Բրնձով փլավ,Rice Pilaf,5,
meat_casserole,Մսով թխուկ,Meat Casserole,5,
lavash_khachapuri,Լավաշով խաչապուրի,Lavash Khachapuri,5,
cheese_sandwich,Պանրով բուտերբրոդ,Cheese Sandwich,5,
kiwi,Կիվի,Kiwi,5,
orange,Նարինջ,Orange,5,
apple,Խնձոր,Apple,5,
candy,Կոնֆետ,Candy,5,
cake,Թխվածք,Cake,5,
banana,Բանան,Banana,5,
cucumber,Վարունգ,Cucumber,5,
roll_cake,Ռուլետ,Roll Cake,5,
chicken_cutlet_sandwich,Հավի կոտլետ բուտերբրոդ,Chicken Cutlet Sandwich,5,
carrot,Գազար,Carrot,5,
chicken_sausage_sandwich,Հավով նրբերշիկով բուտերբրոդ,Chicken Sausage Sandwich,5,
